index,time,xrsa,xrsb,xrsa_quality,xrsb_quality,sec_from_start
264,2002-07-23 00:13:12,3.257586e-08,2.0469001e-06,0,0,792.0
265,2002-07-23 00:13:15,3.110948e-08,1.9841e-06,0,0,795.0
266,2002-07-23 00:13:18,3.1514656e-08,2.0744858e-06,0,0,798.0
267,2002-07-23 00:13:21,3.203101e-08,2.0563857e-06,0,0,801.0
268,2002-07-23 00:13:24,3.311214e-08,2.0527e-06,0,0,804.0
269,2002-07-23 00:13:27,3.143066e-08,2.1255714e-06,0,0,807.0
270,2002-07-23 00:13:30,3.220593e-08,2.0478858e-06,0,0,810.0
271,2002-07-23 00:13:33,3.2499763e-08,2.1329715e-06,0,0,813.0
272,2002-07-23 00:13:36,3.4273647e-08,2.0100001e-06,0,0,816.0
273,2002-07-23 00:13:39,3.1955576e-08,1.9828e-06,0,0,819.0
274,2002-07-23 00:13:42,3.2711576e-08,1.9854429e-06,0,0,822.0
275,2002-07-23 00:13:45,3.2056867e-08,2.0686714e-06,0,0,825.0
276,2002-07-23 00:13:48,3.2663976e-08,2.0693144e-06,0,0,828.0
277,2002-07-23 00:13:51,3.2532704e-08,2.044e-06,0,0,831.0
278,2002-07-23 00:13:54,3.2010753e-08,2.043043e-06,0,0,834.0
279,2002-07-23 00:13:57,3.2346584e-08,2.133057e-06,0,0,837.0
280,2002-07-23 00:14:00,3.4386964e-08,2.0154e-06,0,0,840.0
281,2002-07-23 00:14:03,3.1514496e-08,2.0991286e-06,0,0,843.0
282,2002-07-23 00:14:06,3.0966845e-08,2.0372713e-06,0,0,846.0
283,2002-07-23 00:14:09,3.3039008e-08,2.1232142e-06,0,0,849.0
284,2002-07-23 00:14:12,3.2494494e-08,2.051143e-06,0,0,852.0
285,2002-07-23 00:14:15,3.2509483e-08,2.1311714e-06,0,0,855.0
286,2002-07-23 00:14:18,3.172828e-08,2.0913285e-06,0,0,858.0
287,2002-07-23 00:14:21,3.406974e-08,2.1518429e-06,0,0,861.0
288,2002-07-23 00:14:24,3.371546e-08,2.1012713e-06,0,0,864.0
289,2002-07-23 00:14:27,3.3692068e-08,1.9849e-06,0,0,867.0
290,2002-07-23 00:14:30,3.3589785e-08,2.0537e-06,0,0,870.0
291,2002-07-23 00:14:33,3.3124824e-08,1.9986428e-06,0,0,873.0
292,2002-07-23 00:14:36,3.3952798e-08,2.1193714e-06,0,0,876.0
293,2002-07-23 00:14:39,3.3003598e-08,2.0709429e-06,0,0,879.0
294,2002-07-23 00:14:42,3.3409762e-08,2.0704572e-06,0,0,882.0
295,2002-07-23 00:14:45,3.304313e-08,2.1133571e-06,0,0,885.0
296,2002-07-23 00:14:48,3.4681126e-08,2.0192572e-06,0,0,888.0
297,2002-07-23 00:14:51,3.5259244e-08,2.0704572e-06,0,0,891.0
298,2002-07-23 00:14:54,3.301974e-08,1.9954716e-06,0,0,894.0
299,2002-07-23 00:14:57,3.5319363e-08,2.0457144e-06,0,0,897.0
300,2002-07-23 00:15:00,3.4321573e-08,2.049657e-06,0,0,900.0
301,2002-07-23 00:15:03,3.4841385e-08,2.072757e-06,0,0,903.0
302,2002-07-23 00:15:06,3.507148e-08,2.037243e-06,0,0,906.0
303,2002-07-23 00:15:09,3.4157363e-08,2.0874857e-06,0,0,909.0
304,2002-07-23 00:15:12,3.467207e-08,2.0712857e-06,0,0,912.0
305,2002-07-23 00:15:15,3.3991178e-08,2.0956286e-06,0,0,915.0
306,2002-07-23 00:15:18,3.5987576e-08,2.0704572e-06,0,0,918.0
307,2002-07-23 00:15:21,3.6144044e-08,2.0908287e-06,0,0,921.0
308,2002-07-23 00:15:24,3.48432e-08,2.081843e-06,0,0,924.0
309,2002-07-23 00:15:27,3.4933787e-08,2.0854714e-06,0,0,927.0
310,2002-07-23 00:15:30,3.682049e-08,2.050643e-06,0,0,930.0
311,2002-07-23 00:15:33,3.4166753e-08,2.1051715e-06,0,0,933.0
312,2002-07-23 00:15:36,3.7911835e-08,2.0705e-06,0,0,936.0
313,2002-07-23 00:15:39,3.5814963e-08,2.0962286e-06,0,0,939.0
314,2002-07-23 00:15:42,3.6821483e-08,2.1096714e-06,0,0,942.0
315,2002-07-23 00:15:45,3.6404117e-08,2.2141287e-06,0,0,945.0
316,2002-07-23 00:15:48,3.7932587e-08,2.0474288e-06,0,0,948.0
317,2002-07-23 00:15:51,3.79316e-08,1.960057e-06,0,0,951.0
318,2002-07-23 00:15:54,3.7878234e-08,2.0704856e-06,0,0,954.0
319,2002-07-23 00:15:57,3.7045314e-08,2.0731e-06,0,0,957.0
320,2002-07-23 00:16:00,3.682132e-08,2.0937857e-06,0,0,960.0
321,2002-07-23 00:16:03,3.6821152e-08,2.0679572e-06,0,0,963.0
322,2002-07-23 00:16:06,3.8157904e-08,2.0268e-06,0,0,966.0
323,2002-07-23 00:16:09,3.9395008e-08,2.1059002e-06,0,0,969.0
324,2002-07-23 00:16:12,3.74192e-08,2.0518285e-06,0,0,972.0
325,2002-07-23 00:16:15,3.8410402e-08,2.0530572e-06,0,0,975.0
326,2002-07-23 00:16:18,3.8448444e-08,2.1043859e-06,0,0,978.0
327,2002-07-23 00:16:21,3.9399787e-08,2.0374143e-06,0,0,981.0
328,2002-07-23 00:16:24,3.803207e-08,2.0768e-06,0,0,984.0
329,2002-07-23 00:16:27,3.9351033e-08,2.0069715e-06,0,0,987.0
330,2002-07-23 00:16:30,3.827254e-08,2.1143144e-06,0,0,990.0
331,2002-07-23 00:16:33,4.2911974e-08,2.0199286e-06,0,0,993.0
332,2002-07-23 00:16:36,3.9467317e-08,2.0702e-06,0,0,996.0
333,2002-07-23 00:16:39,4.058814e-08,2.0690857e-06,0,0,999.0
334,2002-07-23 00:16:42,4.1291266e-08,2.0342716e-06,0,0,1002.0
335,2002-07-23 00:16:45,4.0209812e-08,2.1189571e-06,0,0,1005.0
336,2002-07-23 00:16:48,4.1265743e-08,2.0909001e-06,0,0,1008.0
